id,name,visible
light,BC Transit (Light),1,
dark,BC Transit (Dark),1
classic,BC Transit Classic,1
bchydro,BC Hydro,1
uta,Urban Transit Authority,1
contrast,High Contrast,1
tcomm,T-Comm,0
christmas,Christmas,0
halloween,Halloween,0
ghost,Ghost,0
