route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,1,1,1 South Oak Bay via Richardson,,1,65237,1,0,0
1,1,2,1 South Oak Bay via Richardson,,1,65237,1,0,0
1,1,3,1 South Oak Bay via Richardson,,1,65040,1,0,0
1,2,4,1 South Oak Bay via Richardson,,1,65387,1,0,0
1,1,5,1 South Oak Bay via Richardson,,1,65237,1,0,0
1,2,6,1 South Oak Bay via Richardson,,1,65585,1,0,0
1,2,7,1 South Oak Bay via Richardson,,1,65585,1,0,0
1,3,8,1 South Oak Bay via Richardson,,1,64891,1,0,0
1,3,9,1 South Oak Bay via Richardson,,1,64891,1,0,0
1,2,10,1 South Oak Bay via Richardson,,1,65585,1,0,0
1,3,11,1 South Oak Bay via Richardson,,1,64891,1,0,0
1,4,12,1 South Oak Bay via Richardson,,1,66283,1,0,0
1,5,13,1 South Oak Bay via Richardson,,1,64544,1,0,0
1,5,14,1 South Oak Bay via Richardson,,1,64346,1,0,0
1,5,15,1 South Oak Bay via Richardson,,1,64544,1,0,0
1,5,16,1 South Oak Bay via Richardson,,1,64544,1,0,0
1,4,17,1 South Oak Bay via Richardson,,1,66479,1,0,0
1,4,18,1 South Oak Bay via Richardson,,1,66479,1,0,0
1,4,19,1 South Oak Bay via Richardson,,1,66479,1,0,0
1,3,20,1 South Oak Bay via Richardson,,1,64693,1,0,0
1,1,21,1 Downtown,,0,65040,2,0,0
1,1,22,1 Downtown,,0,65040,2,0,0
1,2,23,1 Downtown,,0,65387,2,0,0
1,1,24,1 Downtown,,0,65040,2,0,0
1,1,25,1 Downtown,,0,65237,2,0,0
1,1,26,1 Downtown,,0,65237,2,0,0
1,2,27,1 Downtown,,0,65387,2,0,0
1,2,28,1 Downtown,,0,65387,2,0,0
1,2,29,1 Downtown,,0,65585,2,0,0
1,2,30,1 Downtown,,0,65585,2,0,0
1,3,31,1 Downtown,,0,64891,2,0,0
1,3,32,1 Downtown,,0,64891,2,0,0
1,5,33,1 Downtown,,0,64544,2,0,0
1,5,34,1 Downtown,,0,64346,2,0,0
1,4,35,1 Downtown,,0,66283,2,0,0
1,5,36,1 Downtown,,0,64346,2,0,0
1,4,37,1 Downtown,,0,66283,2,0,0
1,4,38,1 Downtown,,0,66283,2,0,0
1,5,39,1 Downtown,,0,64346,2,0,0
1,5,40,1 Downtown,,0,64544,2,0,0
1,4,41,1 Downtown,,0,66479,2,0,0
1,3,42,1 Downtown,,0,64693,2,0,0
1,3,43,1 Downtown,,0,64693,2,0,0
1,4,44,1 Downtown,,0,66479,2,0,0
1,3,45,1 Downtown,,0,64693,2,0,0
2,6,46,2 Downtown Only,,1,66067,3,0,0
2,2,47,2 Downtown Only,,1,65563,3,0,0
2,4,48,2 Downtown Only,,1,66210,3,0,0
2,5,49,2 Downtown Only,,1,64367,3,0,0
2,3,50,2 Downtown Only,,1,64869,3,0,0
2,4,51,2 Downtown Only,,1,66316,3,0,0
2,4,52,2 Downtown Only,,1,66304,3,0,0
2,6,53,2 Downtown Only,,1,66125,3,0,0
2,7,54,2 Downtown Only,,1,65870,3,0,0
