stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
91,100078,Douglas at Beacon - Beacon Hill Park,,48.411257,-123.368587,,,0,,2
92,100065,Niagara at Government,,48.412243,-123.372112,,,0,,2
93,100054,Niagara at Clarence,,48.412992,-123.373751,,,0,,2
94,100049,Niagara at Menzies,,48.413688,-123.375228,,,0,,2
95,100031,Menzies at Simcoe,,48.415557,-123.37371,,,0,,2
96,100013,Menzies at Michigan,,48.417173,-123.372823,,,0,,2
97,100008,Superior at Menzies,,48.418267,-123.372816,,,0,,2
98,100905,Superior at Oswego,,48.419766,-123.376596,,,0,,2
99,100946,Superior at Montreal,,48.421153,-123.379469,,,0,,2
100,100086,Erie at Dallas - Fisherman's Wharf,,48.421585,-123.383306,,,0,,2
101,100757,Newport at Windsor,,48.423843,-123.306701,,,0,,2
102,100734,Newport at Beresford,,48.425428,-123.308872,,,0,,2
103,100701,Oak Bay at York,,48.426475,-123.311408,,,0,,2
104,100079,Johnson at Blanshard,,48.426729,-123.361265,,,0,,2
105,100093,Johnson at Quadra,,48.426465,-123.358619,,,0,,2
106,100125,Johnson at Vancouver,,48.426176,-123.355914,,,0,,2
107,100143,Johnson at Cook,,48.425827,-123.352749,,,0,,2
108,100159,Johnson at Chambers,,48.425591,-123.350238,,,0,,2
109,100181,Johnson at Camosun,,48.425464,-123.347877,,,0,,2
110,100211,Johnson at Fernwood,,48.425401,-123.344991,,,0,,2
111,100228,Johnson at Stanley,,48.425851,-123.34319,,,0,,2
112,100262,Pandora at Elford,,48.426573,-123.340847,,,0,,2
113,100296,Pandora at Fort - Oak Bay Junction,,48.426476,-123.337817,,,0,,2
114,100312,Oak Bay at McGregor,,48.426478,-123.335991,,,0,,2
115,100361,Oak Bay at Jubilee,,48.4264,-123.331915,,,0,,2
116,100397,Oak Bay at Richmond,,48.426392,-123.329884,,,0,,2
117,100453,Oak Bay at Chamberlain,,48.426394,-123.326742,,,0,,2
118,100502,Oak Bay at Amphion,,48.426383,-123.324021,,,0,,2
119,100536,Oak Bay at Foul Bay,,48.426399,-123.321773,,,0,,2
120,100588,Oak Bay at Yale,,48.42645,-123.318562,,,0,,2
121,100622,Oak Bay at Wilmot,,48.426453,-123.317032,,,0,,2
122,100657,Oak Bay at Monterey,,48.426413,-123.314595,,,0,,2
123,100669,Monterey at Woodlawn,,48.428505,-123.313928,,,0,,2
124,100720,St Ann at Cranmore,,48.431523,-123.311683,,,0,,2
125,100745,St Ann at Bowker,,48.432986,-123.31073,,,0,,2
126,100510,Bowker at Monteith,,48.432417,-123.308415,,,0,,2
127,100787,Beach at Bowker,,48.432391,-123.306497,,,0,,2
128,100814,Beach at Dalhousie,,48.434383,-123.304998,,,0,,2
129,100847,Estevan at Beach,,48.436332,-123.304027,,,0,,2
130,100821,Estevan at Dunlevy,,48.437336,-123.306965,,,0,,2
131,100807,Thompson at Musgrave,,48.438137,-123.308475,,,0,,2
132,100808,Mayhew at Dufferin,,48.439841,-123.309355,,,0,,2
133,100686,Oak Bay at Oliver,,48.426365,-123.312319,,,0,,2
134,100714,Newport at St David,,48.42595,-123.309965,,,0,,2
135,100742,Newport at Transit,,48.424619,-123.308048,,,0,,2
136,103741,Royal Jubilee Hospital,,48.433631,-123.327865,,,0,,2
137,100515,Fort at Lee,,48.431565,-123.325101,,,0,,2
138,100559,Foul Bay at Cadboro Bay / Fort,,48.431763,-123.32255,,,0,,2
139,100550,Foul Bay at Meadow,,48.429952,-123.322632,,,0,,2
140,100533,Foul Bay at Leighton,,48.428576,-123.322746,,,0,,2
141,100517,Foul Bay at Oak Bay,,48.426204,-123.322835,,,0,,2
142,100511,Foul Bay at Edgecliffe,,48.42226,-123.322516,,,0,,2
143,100489,Foul Bay at Richardson/McNeill,,48.42053,-123.323473,,,0,,2
144,100475,Foul Bay at Romney,,48.418801,-123.324583,,,0,,2
145,100432,Foul Bay at Fairfield,,48.415764,-123.327682,,,0,,2
146,100983,Foul Bay at Beaven,,48.414251,-123.327945,,,0,,2
147,100460,Crescent at Foul Bay,,48.412093,-123.327095,,,0,,2
148,100410,Crescent at Richmond,,48.411744,-123.330644,,,0,,2
149,100360,Ross at Wildwood,,48.410926,-123.334253,,,0,,2
150,100332,Ross at St Charles,,48.410949,-123.335965,,,0,,2
151,100303,Fairfield at St Charles,,48.412282,-123.337673,,,0,,2
152,100269,Fairfield at Arnold,,48.412071,-123.341051,,,0,,2
153,100238,Memorial at May,,48.411548,-123.343872,,,0,,2
154,100217,Eberts at May,,48.410643,-123.346321,,,0,,2
155,100232,Eberts at Bushby,,48.409114,-123.346686,,,0,,2
156,100230,Bushby at Joseph,,48.408362,-123.347882,,,0,,2
157,100213,George at Moss,,48.408181,-123.350315,,,0,,2
158,100221,Moss at Point,,48.406353,-123.351137,,,0,,2
159,100192,Dallas at Wellington,,48.407174,-123.353682,,,0,,2
160,100168,Linden at Faithful,,48.40976,-123.353813,,,0,,2
161,100155,May at Linden,,48.411883,-123.353729,,,0,,2
162,100130,May at Cook,,48.412254,-123.357093,,,0,,2
163,100120,Cook at Sutlej,,48.414375,-123.356486,,,0,,2
164,100113,Cook at Southgate,,48.416135,-123.355719,,,0,,2
165,100100,Cook at Fairfield,,48.418356,-123.355192,,,0,,2
166,100105,Cook at Richardson,,48.419863,-123.354826,,,0,,2
167,100121,Cook at Rockland,,48.422313,-123.354201,,,0,,2
168,100128,Cook at Fort,,48.423611,-123.353918,,,0,,2
169,100127,Yates at Cook,,48.425252,-123.354719,,,0,,2
170,100106,Yates at Vancouver,,48.425508,-123.35716,,,0,,2
171,100068,Yates at Quadra,,48.425945,-123.361162,,,0,,2
172,100004,Superior at Gov't - Legislature Terminal,,48.418298,-123.369365,,,0,,2
173,100033,Fort at Douglas,,48.424501,-123.364585,,,0,,2
174,100045,Fort at Blanshard,,48.424173,-123.361833,,,0,,2
175,100064,Fort at Quadra,,48.423887,-123.359217,,,0,,2
176,100122,Cook at Meares,,48.423086,-123.354221,,,0,,2
177,100112,Cook at Rockland,,48.421887,-123.354519,,,0,,2
178,100096,Cook at Richardson,,48.419428,-123.355138,,,0,,2
179,100095,Cook at Fairfield,,48.418255,-123.355406,,,0,,2
180,100102,Cook at Southgate,,48.416048,-123.355972,,,0,,2
181,100117,Cook at Oxford,,48.414008,-123.356894,,,0,,2
182,100131,May at Cook,,48.412125,-123.356952,,,0,,2
183,100156,May at Linden,,48.411808,-123.353998,,,0,,2
184,100163,May at Wellington,,48.411546,-123.351563,,,0,,2
185,100190,May at Moss,,48.411307,-123.349425,,,0,,2
186,100201,May at Joseph,,48.411136,-123.347854,,,0,,2
187,100222,May at Eberts,,48.410912,-123.345851,,,0,,2
188,100243,Memorial at Fairfield,,48.411822,-123.343448,,,0,,2
189,100279,Fairfield at Stannard,,48.412254,-123.339687,,,0,,2
190,100313,Fairfield at St Charles,,48.412169,-123.336848,,,0,,2
191,100335,Ross at St Charles,,48.410803,-123.335868,,,0,,2
192,100377,Ross at Wildwood,,48.410801,-123.333616,,,0,,2
193,100412,Crescent at Richmond,,48.411669,-123.33051,,,0,,2
194,100482,Crescent at Foul Bay,,48.412153,-123.328068,,,0,,2
195,100439,Foul Bay at Quixote,,48.414246,-123.327718,,,0,,2
196,100436,Foul Bay at Fairfield,,48.41586,-123.327487,,,0,,2
197,100477,Foul Bay at Runnymede,,48.418998,-123.324101,,,0,,2
198,100493,Foul Bay at McNeill/Richardson,,48.4206,-123.323329,,,0,,2
199,100522,Foul Bay at Granite,,48.425393,-123.322313,,,0,,2
200,100546,Foul Bay at Milton,,48.429218,-123.322524,,,0,,2
201,100556,Foul Bay at Goldsmith,,48.430781,-123.322388,,,0,,2
202,100561,Fort at Foul Bay,,48.432153,-123.322926,,,0,,2
203,100498,Fort at Lee,,48.43146,-123.326165,,,0,,2
204,100438,Fort at Richmond,,48.429903,-123.329575,,,0,,2
205,100451,Richmond at Denman,,48.431975,-123.329411,,,0,,2
206,100200,May at Olive,,48.411258,-123.348052,,,0,,2
207,100184,May at Moss,,48.411499,-123.350128,,,0,,2
208,100521,Crescent at King George,,48.410652,-123.323918,,,0,,2
209,100547,Quimper Loop,,48.408916,-123.323402,,,0,,2
210,101076,UVic Exchange,,48.465978,-123.309529,,,0,,2
211,101011,Ring Rd. at McGill,,48.463693,-123.316353,,,0,,2
212,100991,Ring Rd. at Parking Lot '6',,48.461922,-123.316057,,,0,,2
213,100950,Henderson at Frederick Norris,,48.457786,-123.315866,,,0,,2
214,100932,Henderson at Avondale,,48.455291,-123.314414,,,0,,2
215,100897,Henderson at Kendal,,48.452665,-123.315513,,,0,,2
216,100826,Foul Bay at University Woods,,48.449707,-123.317973,,,0,,2
217,100752,Camosun College main entrance,,48.447463,-123.321384,,,0,,2
218,100680,Lansdowne at Richmond,,48.446213,-123.327576,,,0,,2
219,100641,Lansdowne at Aldridge,,48.44624,-123.331163,,,0,,2
220,100595,Hillside at Shelbourne - Hillside Ctr.,,48.445353,-123.334437,,,0,,2
221,100505,Hillside at Doncaster,,48.44357,-123.338822,,,0,,2
222,100448,Hillside at Gosworth,,48.442396,-123.341765,,,0,,2
223,100396,Hillside at Cedar Hill,,48.441255,-123.344702,,,0,,2
224,100336,Hillside at Higgins,,48.440833,-123.349735,,,0,,2
225,100311,Hillside at Cook,,48.440347,-123.352553,,,0,,2
226,100298,Hillside at Blackwood,,48.440127,-123.354338,,,0,,2
227,100278,Hillside at Graham,,48.4398,-123.356828,,,0,,2
228,100261,Hillside at Quadra,,48.439457,-123.359757,,,0,,2
229,100220,Hillside at Douglas,,48.438596,-123.365801,,,0,,2
230,100177,Douglas at Bay St.,,48.435296,-123.365334,,,0,,2
231,100132,Douglas at Discovery,,48.432163,-123.364702,,,0,,2
232,100082,Douglas at Pandora - City Hall,,48.428681,-123.364584,,,0,,2
233,100042,Douglas at View,,48.425546,-123.365231,,,0,,2
234,100017,Burdett / Humboldt at Douglas,,48.42205,-123.365463,,,0,,2
235,100025,Fairfield at Blanshard - Bay A,,48.421886,-123.364085,,,0,,2
236,100223,Gorge at Government / Douglas,,48.438748,-123.368215,,,0,,2
237,100076,Douglas at Pandora - City Hall,,48.427714,-123.364464,,,0,,2
238,100394,Douglas at Herald / Fisgard,,48.429958,-123.364397,,,0,,2
239,100146,Douglas at Discovery,,48.432177,-123.364488,,,0,,2
240,100178,Douglas at Field (Bay St.),,48.434688,-123.36477,,,0,,2
241,100198,Douglas at Kings,,48.437073,-123.366107,,,0,,2
242,102012,Hillside at Douglas,,48.438496,-123.365523,,,0,,2
243,100237,Hillside at Blanshard,,48.438968,-123.362406,,,0,,2
244,100266,Hillside at Quadra,,48.439481,-123.358182,,,0,,2
245,100280,Hillside at Graham,,48.439777,-123.356029,,,0,,2
